municipality,2014_VALUE,2018_VALUE,2022_VALUE,2026_VALUE,2014_PERCENT,2018_PERCENT,2022_PERCENT,2026_PERCENT
ANGRA DOS REIS,95,16,11,15,0.1618,0.0209,0.0093,0.0117
APERIBE,110,232,3,3,1.6389,4.6401,0.0419,0.0504
ARARUAMA,135,31,27,40,0.1922,0.0649,0.0358,0.0446
AREAL,7,0,3,3,0.1789,0.0,0.0474,0.0436
ARMACAO DOS BUZIOS,31,4,343,324,0.2436,0.028,2.0914,1.8835
ARRAIAL DO CABO,44,6,115,179,0.327,0.0294,0.6026,0.508
BARRA DO PIRAI,0,111,78,108,0.0,0.2417,0.1976,0.1948
BARRA MANSA,9,7,10,7,0.0241,0.0085,0.0095,0.0096
BELFORD ROXO,199,54,23,25,0.1092,0.0204,0.0119,0.0118
BOM JARDIM,1134,846,138,158,15.1429,7.384,0.738,0.7094
BOM JESUS DO ITABAPOANA,735,278,44,49,2.8116,1.361,0.1829,0.2553
CABO FRIO,361,324,293,205,0.7389,0.3383,0.2246,0.1946
CACHOEIRAS DE MACACU,29,5,959,825,0.1111,0.0173,3.4466,3.2147
CAMBUCI,1071,646,8,8,12.7069,6.5179,0.111,0.1033
CARAPEBUS,1189,689,997,701,15.9325,9.8523,9.0529,9.7859
CARDOSO MOREIRA,21,88,140,183,0.3429,0.8908,2.2677,2.3521
CARMO,398,346,355,490,3.1919,3.3353,4.852,2.7875
CASIMIRO DE ABREU,310,531,522,821,1.3158,1.7191,2.8251,2.3731
CONCEICAO DE MACABU,1353,1616,1012,1070,20.2313,9.0179,10.2035,11.0485
CORDEIRO,509,876,136,199,5.2906,5.0494,1.8917,1.9857
DUAS BARRAS,885,803,1109,1191,23.4558,12.1859,15.2069,14.7076
DUQUE DE CAXIAS,84,54,120,114,0.0369,0.0237,0.021,0.0263
ENGENHEIRO PAULO DE FRONTIN,0,7,10,12,0.0,0.0767,0.1841,0.1665
GUAPIMIRIM,12,337,33,36,0.0656,1.4988,0.1188,0.1646
IGUABA GRANDE,87,14,6,6,0.6574,0.0791,0.0336,0.0283
ITABORAI,145,22,186,152,0.162,0.0299,0.1338,0.1128
ITAGUAI,0,2,0,0,0.0,0.0,0.0,0.0
ITALVA,149,14,90,58,3.9503,0.1978,1.1744,1.2096
